Ticker,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MA,Price Above 200 MAV
ABR,REIT - Mortgage,Real Estate,10.45,9.35,11.17,14.54,-3.45,7.72,NYQ,15.06,2838039552,24.71,#N/A,0.19,#N/A,#N/A,#N/A,13.6561,YES
ABT,Medical Devices,Healthcare,35.49,22.7,1.84,129.55,10.59,12.43,NYQ,117.14,2.03777E+11,18.94,XLV,0.6,S&P 500,#N/A,#N/A,110.44515,YES
ABUS,Biotechnology,Healthcare,0,-11.59,0,5,23.3,23.3,NMS,4.055,765510976,62.03,#N/A,0.4,#N/A,#N/A,#N/A,3.21095,YES
ACAD,Biotechnology,Healthcare,77.03,18.07,0,25.28,72.8,72.8,NMS,14.63,2426765824,45.67,#N/A,1.1,#N/A,#N/A,#N/A,18.7208,NO
ACCO,Business Equipment & Supplies,Industrials,0,4.26,5.78,10.67,108.6,114.38,NYQ,5.115,490005728,40.87,#N/A,3.08,#N/A,#N/A,#N/A,5.3048,NO
ACGL,Insurance - Diversified,Financial Services,7.63,11.91,0,122.38,12.82,12.82,NMS,108.47,40806051840,26.96,XLF,0.44,S&P 500,#N/A,#N/A,96.7228,YES
ACHC,Medical Care Facilities,Healthcare,0,13.45,0,87.5,64.3,64.3,NMS,53.255,4945178624,52.89,#N/A,0.73,#N/A,#N/A,#N/A,73.22305,NO
ACHV,Biotechnology,Healthcare,0,-4.71,0,16,220.64,220.64,NCM,4.99,171706496,55.13,#N/A,5.17,#N/A,#N/A,#N/A,4.64385,YES
ACIW,#NUM!,Technology,28.88,24.91,0,56.6,15.32,15.32,NMS,49.08,5136565760,32.29,#N/A,0.27,#N/A,#N/A,#N/A,38.31895,YES
ACLS,Semiconductor Equipment & Materials,Technology,12.6,12.55,0,148.26,62.03,62.03,NMS,91.5,2984510464,49.53,#N/A,1.04,#N/A,#N/A,#N/A,115.77525,NO
ACM,Engineering & Construction,Industrials,39.61,21.51,0.82,110.78,3.2,4.02,NYQ,107.34,14392763392,30.46,#N/A,0.14,#N/A,#N/A,#N/A,92.80425,YES
ACN,Information Technology Services,Technology,32.81,26.72,1.57,383.17,1.92,3.49,NYQ,375.96,2.34915E+11,24.02,XLK,0.18,S&P 500,#N/A,#N/A,334.93265,YES
ACNB,Banks - Regional,Financial Services,11.74,11.07,2.9,41,-4.56,-1.66,NCM,42.96,367120256,128.13,#N/A,-0.01,#N/A,#N/A,#N/A,37.4547,YES
ACNT,Steel,Basic Materials,0,0,0,18,96.51,96.51,NGM,9.16,92742248,41.16,#N/A,2.34,#N/A,#N/A,#N/A,10.0554,NO
ACR,REIT - Mortgage,Real Estate,18.73,8.3,0,18.75,22.07,22.07,NYQ,15.36,120932808,29.06,#N/A,0.76,#N/A,#N/A,#N/A,13.19355,YES
ACRE,REIT - Mortgage,Real Estate,0,16.41,14.9,6.8,3.66,18.56,NYQ,6.56,357915264,26.78,#N/A,0.38,#N/A,#N/A,#N/A,7.4951,NO
ACTG,Business Equipment & Supplies,Industrials,6.39,-22.83,0,7,45.99,45.99,NMS,4.795,481298144,38.54,#N/A,1.14,#N/A,#N/A,#N/A,4.765,YES
ADBE,Software - Infrastructure,Technology,42.12,24.25,0,623.55,25.14,25.14,NMS,498.27,2.19299E+11,30.8,XLK,0.84,S&P 500,#N/A,Nasdaq 100,532.14374,NO
ADC,REIT - Retail,Real Estate,41.89,40.54,4.02,77.03,2.7,6.72,NYQ,75.005,7571890176,22.5,#N/A,0.35,#N/A,#N/A,#N/A,63.7188,YES
ADEA,Software - Application,Technology,29.79,8.42,1.61,0,-100,-98.39,NMS,12.215,1330250112,44.01,#N/A,-2.1,#N/A,#N/A,#N/A,11.404625,YES
ADI,Semiconductors,Technology,67.77,29.75,1.61,255.27,13.74,15.35,NMS,224.43,1.11386E+11,31.63,XLK,0.46,S&P 500,#N/A,Nasdaq 100,212.06285,YES
ADM,Farm Products,Consumer Defensive,11.17,10.5,3.55,61.7,10,13.55,NYQ,56.09,26808944640,22.63,XLP,0.48,S&P 500,#N/A,#N/A,60.0562,NO
ADP,Software - Application,Technology,32.01,26.72,1.92,277.98,-4.46,-2.54,NMS,290.95,1.18657E+11,17,XLI,-0.11,S&P 500,#N/A,Nasdaq 100,253.3135,YES
ADSK,Software - Application,Technology,59.17,31.52,0,298.88,3.31,3.31,NMS,289.315,62348906496,30.36,XLK,0.12,S&P 500,#N/A,Nasdaq 100,245.6866,YES
ADTN,Communication Equipment,Technology,0,26.08,6.77,7,11.82,18.59,NMS,6.26,495992352,53.27,#N/A,0.32,#N/A,#N/A,#N/A,5.67595,YES
ADUS,Medical Care Facilities,Healthcare,31.09,22.55,0,137.3,5.14,5.14,NMS,130.585,2363627776,34.59,#N/A,0.14,#N/A,#N/A,#N/A,110.75335,YES
AEE,Utilities - Regulated Electric,Utilities,19.92,17.97,3.02,87.32,-1.03,1.99,NYQ,88.225,23541264384,17,XLU,0.08,S&P 500,#N/A,#N/A,75.6224,YES
AEHR,Semiconductor Equipment & Materials,Technology,15.91,33.35,0,25,59.54,59.54,NCM,15.67,464464352,75.22,#N/A,0.81,#N/A,#N/A,#N/A,14.0984,YES
AEIS,Electrical Equipment & Parts,Industrials,44.09,20.58,0.36,115,6.04,6.4,NMS,108.45,4086712832,39.03,#N/A,0.14,#N/A,#N/A,#N/A,103.39275,YES
AEM,Gold,Basic Materials,74.76,20.35,1.86,89.98,3.76,5.62,NYQ,86.72,43488964608,29.74,#N/A,0.15,#N/A,#N/A,#N/A,66.06385,YES
AEO,Apparel Retail,Consumer Cyclical,16.56,10.67,2.36,23.78,14.85,17.21,NYQ,20.705,3976685056,51.02,#N/A,0.41,#N/A,#N/A,#N/A,21.856,NO
AEP,Utilities - Regulated Electric,Utilities,20.07,16.81,3.5,102.46,2.1,5.6,NMS,100.35,53382279168,19.85,XLU,0.29,S&P 500,#N/A,Nasdaq 100,89.72975,YES
AER,Rental & Leasing Services,Industrials,6.36,7.99,1.03,107.25,11.15,12.18,NYQ,96.49,18830893056,27.4,#N/A,0.39,#N/A,#N/A,#N/A,87.9607,YES
AES,Utilities - Diversified,Utilities,16.35,8.29,3.95,22.59,31.61,35.56,NYQ,17.1643,12203012096,35.66,XLU,0.8,S&P 500,#N/A,#N/A,17.82935,NO
AFG,Insurance - Property & Casualty,Financial Services,12.64,11.22,2.35,141.6,5.58,7.93,NYQ,134.11,11252338688,25.89,#N/A,0.26,#N/A,#N/A,#N/A,128.30835,YES
AFL,Insurance - Life,Financial Services,11.88,15.85,1.75,102.64,-8.95,-7.2,NYQ,112.725,63126130688,18.73,XLF,-0.29,S&P 500,#N/A,#N/A,91.71475,YES
AG,Silver,Basic Materials,0,28.11,0.25,7.89,4.01,4.26,NYQ,7.586,2291117568,59.98,#N/A,0.06,#N/A,#N/A,#N/A,5.95915,YES
AGCO,Farm & Heavy Construction Machinery,Industrials,17.64,13.42,1.14,110.67,11.99,13.13,NYQ,98.82,7381004288,30.9,#N/A,0.36,#N/A,#N/A,#N/A,106.11315,NO
AGEN,Biotechnology,Healthcare,0,-0.46,0,9.75,119.59,119.59,NCM,4.44,95779240,143.05,#N/A,0.71,#N/A,#N/A,#N/A,10.418,NO
AGI,Gold,Basic Materials,41.63,19.82,0.48,23.22,11.53,12.01,NYQ,20.82,8756725760,35.82,#N/A,0.31,#N/A,#N/A,#N/A,15.913,YES
AGM,Credit Services,Financial Services,11.14,10.28,2.98,218,19.47,22.45,NYQ,182.475,1924618624,29.17,#N/A,0.62,#N/A,#N/A,#N/A,185.78944,NO
AGNC,REIT - Mortgage,Real Estate,27.33,5.41,13.58,10.57,1.78,15.36,NMS,10.385,8125889024,16.72,#N/A,0.9,#N/A,#N/A,#N/A,9.8382,YES
AGO,Insurance - Specialty,Financial Services,6.97,13.39,1.43,100.5,18.07,19.5,NYQ,85.12,4480342528,29.27,#N/A,0.61,#N/A,#N/A,#N/A,80.6296,YES
AGRO,Farm Products,Consumer Defensive,5.64,8.26,2.93,12.58,10.35,13.28,NYQ,11.4,1168055424,32.03,#N/A,0.37,#N/A,#N/A,#N/A,10.41795,YES
AGX,Engineering & Construction,Industrials,40.77,25.7,1.16,77.5,-40.41,-39.25,NYQ,130.065,1755825536,57.2,#N/A,-0.83,#N/A,#N/A,#N/A,67.76445,YES
AGYS,Software - Application,Technology,32.26,71.4,0,124,5.89,5.89,NMS,117.1,3264958720,34.73,#N/A,0.12,#N/A,#N/A,#N/A,94.275,YES
AHT,REIT - Hotel & Motel,Real Estate,0,-0.25,0,2.5,344.52,344.52,NYQ,0.5624,33056184,98.75,#N/A,3.49,#N/A,#N/A,#N/A,1.1756,NO
AIG,Insurance - Diversified,Financial Services,14.74,11.3,2.04,84.76,9.55,11.59,NYQ,77.37,49828925440,22.41,XLF,0.45,S&P 500,#N/A,#N/A,74.31425,YES
AIN,Textile Manufacturing,Consumer Cyclical,20.9,18.29,1.4,92.17,25.92,27.32,NYQ,73.2,2285993984,36.41,#N/A,0.82,#N/A,#N/A,#N/A,87.98345,NO
AIR,Aerospace & Defense,Industrials,34.6,13.92,0,79.67,27.21,27.21,NYQ,62.63,2248899328,36.42,#N/A,0.81,#N/A,#N/A,#N/A,65.3063,NO
AIT,Industrial Distribution,Industrials,23.32,21.77,0.64,236.17,2.93,3.57,NYQ,229.44,8819604480,28.51,#N/A,0.11,#N/A,#N/A,#N/A,195.09904,YES
AIZ,Insurance - Property & Casualty,Financial Services,12.98,11.03,1.46,218.8,12.47,13.93,NYQ,194.54,10075868160,24.78,#N/A,0.41,S&P 500,#N/A,#N/A,178.00015,YES
AJG,Insurance Brokers,Financial Services,56.53,25.48,0.83,293.49,1.45,2.28,NYQ,289.285,63382343680,21.16,XLF,0.09,S&P 500,#N/A,#N/A,259.67615,YES
AKAM,Software - Infrastructure,Technology,26.34,15.5,0,118.28,11.46,11.46,NMS,106.115,16079939584,32.67,#N/A,0.36,S&P 500,#N/A,#N/A,102.8194,YES
AKR,REIT - Retail,Real Estate,2428,65.62,3.07,24.4,0.47,3.54,NYQ,24.285,2721496832,31.93,#N/A,0.11,#N/A,#N/A,#N/A,18.80675,YES
AL,Rental & Leasing Services,Industrials,9.46,9.56,1.88,56.6,28.34,30.22,NYQ,44.1,4911725568,25.43,#N/A,0.81,#N/A,#N/A,#N/A,45.6006,NO
ALB,Specialty Chemicals,Basic Materials,0,36.86,1.7,110.24,17.25,18.95,NYQ,94.02,11050451968,49.18,XLB,0.31,S&P 500,#N/A,#N/A,108.8797,NO
ALE,Utilities - Diversified,Utilities,16.77,15.86,4.38,64.47,0.14,4.52,NYQ,64.379,3718163968,9.89,#N/A,0.46,#N/A,#N/A,#N/A,61.57045,YES
ALEX,REIT - Retail,Real Estate,25.37,29.93,4.82,21,14.97,19.79,NYQ,18.265,1326437120,25.69,#N/A,0.77,#N/A,#N/A,#N/A,17.57235,YES
ALG,Farm & Heavy Construction Machinery,Industrials,16.31,14.66,0.59,213.25,23.83,24.42,NYQ,172.215,2076912896,26.01,#N/A,0.85,#N/A,#N/A,#N/A,192.5841,NO
ALGN,Medical Instruments & Supplies,Healthcare,36.79,20.84,0,276.34,27.52,27.52,NMS,216.705,16186862592,38.64,XLV,0.45,S&P 500,#N/A,#N/A,266.1001,NO
ALGT,Airlines,Industrials,0,11.98,3.65,58.33,-8.67,-5.02,NMS,63.87,1168433664,58.54,#N/A,-0.07,#N/A,#N/A,#N/A,58.48395,YES
ALK,Airlines,Industrials,26.22,8.37,0,54.53,18.17,18.17,NYQ,46.145,5821606912,37.14,#N/A,0.48,#N/A,#N/A,#N/A,39.6282,YES
ALKS,Drug Manufacturers - Specialty & Generic,Healthcare,12.22,10.8,0,34.92,25.34,25.34,NMS,27.86,4587650560,33.81,#N/A,0.49,#N/A,#N/A,#N/A,26.6076,YES
ALL,Insurance - Property & Casualty,Financial Services,17.58,10.64,1.88,207.28,7.59,9.47,NYQ,192.65,50867494912,23.42,XLF,0.34,S&P 500,#N/A,#N/A,169.33315,YES
ALLE,Security & Protection Services,Industrials,23.94,19.43,1.26,144.61,-3.98,-2.72,NYQ,150.6,13121491968,25.43,#N/A,-0.1,S&P 500,#N/A,#N/A,129.48155,YES
ALLT,Software - Infrastructure,Technology,0,350.02,0,13,271.41,271.41,NMS,3.5002,135501136,62.45,#N/A,4.13,#N/A,#N/A,#N/A,2.41765,YES
ALNT,Electronic Components,Technology,15.71,10.01,0.63,29.33,60.98,61.61,NGM,18.22,306899488,39.53,#N/A,1.37,#N/A,#N/A,#N/A,26.4708,NO
ALNY,Biotechnology,Healthcare,0,-195.59,0,297.16,1.97,1.97,NMS,291.425,37413433344,36.4,#N/A,0.05,#N/A,#N/A,#N/A,201.60014,YES
ALSN,Auto Parts,Consumer Cyclical,12.9,11.05,0.99,94.88,-4.5,-3.51,NYQ,99.35,8657150976,30.84,#N/A,-0.1,#N/A,#N/A,#N/A,78.49865,YES
ALT,Biotechnology,Healthcare,0,-4.69,0,20.57,198.55,198.55,NGM,6.89,490034528,116.23,#N/A,2.15,#N/A,#N/A,#N/A,7.940725,NO
ALTO,Specialty Chemicals,Basic Materials,0,7.57,0,4.5,157.88,157.88,NCM,1.745,132705128,134.31,#N/A,1.91,#N/A,#N/A,#N/A,1.7581,NO
ALV,Auto Parts,Consumer Cyclical,12.7,9.49,2.73,120.94,24.24,26.97,NYQ,97.34,7666477568,30.66,#N/A,0.86,#N/A,#N/A,#N/A,108.97305,NO
AMAT,Semiconductor Equipment & Materials,Technology,20.7,19.03,0.86,231.28,25.44,26.3,NMS,184.37,1.51987E+11,43.25,XLK,0.58,S&P 500,#N/A,Nasdaq 100,201.55405,NO
AMBA,Semiconductor Equipment & Materials,Technology,0,-316.42,0,74,29.93,29.93,NMS,56.955,2350789120,58.15,#N/A,0.6,#N/A,#N/A,#N/A,52.7541,YES
AMCR,Packaging & Containers,Consumer Cyclical,21.98,13.91,4.5,10.68,-2.82,1.68,NYQ,10.99,15884286976,24.53,XLB,0.07,S&P 500,#N/A,#N/A,10.00435,YES
AMCX,Entertainment,Communication Services,5.95,1.65,0,9.5,22.9,22.9,NMS,7.73,340878304,67.27,#N/A,0.31,#N/A,#N/A,#N/A,12.24915,NO
AMD,Semiconductors,Technology,187.58,28.91,0,188.77,19.86,19.86,NMS,157.49,2.55024E+11,40.73,XLK,0.36,S&P 500,#N/A,Nasdaq 100,162.6958,NO
AME,Specialty Industrial Machinery,Industrials,29.45,23.23,0.66,185.72,9.84,10.5,NYQ,169.08,39131897856,20.29,XLI,0.45,S&P 500,#N/A,#N/A,170.58295,NO
AMED,Medical Care Facilities,Healthcare,34.63,19.05,0,97.78,0.47,0.47,NMS,97.32,3185693184,15.01,#N/A,0.04,#N/A,#N/A,#N/A,94.8353,YES
AMG,Asset Management,Financial Services,11.12,7.62,0.02,212.5,11.2,11.22,NYQ,191.1,5697455616,28.28,#N/A,0.31,#N/A,#N/A,#N/A,163.4267,YES
AMGN,Drug Manufacturers - General,Healthcare,54.64,15.33,2.8,334.04,5.61,8.41,NMS,316.3,1.69949E+11,33.36,XLV,0.23,S&P 500,DJIA,Nasdaq 100,305.96234,YES
AMKR,Semiconductor Equipment & Materials,Technology,19.91,12.83,1.03,40.14,32.67,33.7,NMS,30.255,7455731200,40.18,#N/A,0.72,#N/A,#N/A,#N/A,32.80725,NO
AMN,Medical Care Facilities,Healthcare,15.1,12.87,0,57.57,43.33,43.33,NYQ,40.165,1525966208,70.42,#N/A,0.64,#N/A,#N/A,#N/A,57.4004,NO
AMP,Asset Management,Financial Services,17.84,13.61,1.13,503.11,-3.58,-2.45,NYQ,521.77,51241934848,22.94,XLF,-0.1,S&P 500,#N/A,#N/A,426.4659,YES
AMRC,Engineering & Construction,Industrials,29.18,17.25,0,37.82,21.12,21.12,NYQ,31.225,1636530048,83.63,#N/A,0.24,#N/A,#N/A,#N/A,27.50855,YES
AMRN,Drug Manufacturers - General,Healthcare,0,-3.01,0,1,74.67,74.67,NGM,0.5725,235395392,123.33,#N/A,0.34,#N/A,#N/A,#N/A,0.8412,NO
AMSC,Specialty Industrial Machinery,Industrials,0,48.42,0,30.33,27.92,27.92,NMS,23.71,909000576,89.65,#N/A,0.29,#N/A,#N/A,#N/A,17.89135,YES
AMSF,Insurance - Specialty,Financial Services,17.2,22.21,2.87,53.67,5.07,7.94,NMS,51.08,974008768,26.71,#N/A,0.3,#N/A,#N/A,#N/A,47.8059,YES
AMT,REIT - Specialty,Real Estate,41.5,33.52,2.86,241.67,9.05,11.91,NYQ,221.61,1.03538E+11,25.75,XLRE,0.46,S&P 500,#N/A,#N/A,204.1715,YES
AMWD,"Furnishings, Fixtures & Appliances",Consumer Cyclical,14.39,9.86,0,102.4,5.21,5.21,NMS,97.33,1507809792,44.41,#N/A,0.13,#N/A,#N/A,#N/A,91.62775,YES
AMZN,Internet Retail,Consumer Cyclical,45,32.69,0,218.9,15.85,15.85,NMS,188.95,1.9832E+12,25.8,XLY,0.42,S&P 500,DJIA,Nasdaq 100,178.67885,YES
AN,Auto & Truck Dealerships,Consumer Cyclical,8.97,8.57,0,200.56,21.82,21.82,NYQ,164.64,6531593216,35.28,#N/A,0.53,#N/A,#N/A,#N/A,161.54504,YES
ANDE,Food Distribution,Consumer Defensive,15.92,13.17,1.58,70,48.04,49.62,NMS,47.285,1610758656,39.33,#N/A,1.13,#N/A,#N/A,#N/A,51.97355,NO
ANET,Computer Hardware,Technology,51.43,41.88,0,375.37,-5.34,-5.34,NYQ,396.56,1.24581E+11,37.93,XLK,-0.11,S&P 500,#N/A,#N/A,314.0707,YES
ANF,Apparel Retail,Consumer Cyclical,16.91,14.96,0,184.5,15.56,15.56,NYQ,159.6625,8170037760,70.13,#N/A,0.29,#N/A,#N/A,#N/A,138.54655,YES
ANGI,Internet Content & Information,Communication Services,0,49.9,0,3.9,56.31,56.31,NMS,2.495,1244179072,71.92,#N/A,0.8,#N/A,#N/A,#N/A,2.38,YES
ANGO,Medical Instruments & Supplies,Healthcare,0,-27.33,0,13,98.32,98.32,NMS,6.555,266357168,55.63,#N/A,1.25,#N/A,#N/A,#N/A,6.4381,YES
ANIK,Drug Manufacturers - Specialty & Generic,Healthcare,0,188.19,0,34.5,41.02,41.02,NMS,24.465,362001280,56.44,#N/A,0.95,#N/A,#N/A,#N/A,25.3674,NO
ANIP,Drug Manufacturers - Specialty & Generic,Healthcare,49.95,11.32,0,80,34.52,34.52,NGM,59.47,1251501184,39.19,#N/A,0.88,#N/A,#N/A,#N/A,61.8698,NO
ANIX,Biotechnology,Healthcare,0,-8.51,0,8.5,177.32,177.32,NCM,3.065,98630168,115,#N/A,1.43,#N/A,#N/A,#N/A,3.2694,NO
ANSS,Software - Application,Technology,57.72,30.5,0,341.94,4.67,4.67,NMS,326.68,28547452928,27.17,XLK,0.17,S&P 500,#N/A,Nasdaq 100,327.31036,NO
AON,Insurance Brokers,Financial Services,28.66,20.59,0.75,359.94,0.77,1.52,NYQ,357.185,77579288576,21.38,XLF,0.07,S&P 500,#N/A,#N/A,314.24194,YES
AORT,Medical Devices,Healthcare,0,140.18,0,30.32,13.84,13.84,NYQ,26.635,1116880640,67.8,#N/A,0.36,#N/A,#N/A,#N/A,22.71265,YES
AOS,Specialty Industrial Machinery,Industrials,20.21,19.04,1.73,86.23,10.2,11.93,NYQ,78.25,11414558720,24.52,#N/A,0.4,S&P 500,#N/A,#N/A,83.40715,NO
AOSL,Semiconductors,Technology,0,28.54,0,42,14.85,14.85,NMS,36.57,1059866752,57.35,#N/A,0.22,#N/A,#N/A,#N/A,30.14365,YES
APA,Oil & Gas E&P,Energy,2.72,7.29,3.97,34.91,38.9,42.87,NMS,25.1338,9297561600,41.67,XLE,0.96,S&P 500,#N/A,#N/A,29.8595,NO
APD,Specialty Chemicals,Basic Materials,28.73,24.78,2.13,326.78,-1.27,0.86,NYQ,331,73585934336,21.26,XLB,0.03,S&P 500,#N/A,#N/A,261.17926,YES
APEI,Education & Training Services,Consumer Defensive,74.42,10.34,0,18.33,29.45,29.45,NMS,14.16,250302048,70.63,#N/A,0.39,#N/A,#N/A,#N/A,14.64905,NO
APH,Electronic Components,Technology,39.96,32.56,0.98,72.6,8.81,9.79,NYQ,66.72,80392380416,26.67,XLK,0.3,S&P 500,#N/A,#N/A,60.6592,YES
APO,Asset Management,Financial Services,15.66,17.27,1.28,145.56,0.48,1.76,NYQ,144.87,82508390400,30.74,#N/A,0.06,#N/A,#N/A,#N/A,113.621,YES
APOG,Building Products & Equipment,Industrials,16.42,15.88,1.27,80.17,3.03,4.3,NMS,77.81,1707384832,35.59,#N/A,0.12,#N/A,#N/A,#N/A,61.8673,YES
APPS,Software - Application,Technology,0,5.99,0,3.83,20.63,20.63,NCM,3.175,325799936,103.48,#N/A,0.17,#N/A,#N/A,#N/A,2.919,YES
APTV,Auto Parts,Consumer Cyclical,5.31,9.15,0,91.07,29.4,29.4,NYQ,70.38,16536483840,36.62,XLY,0.67,S&P 500,#N/A,#N/A,75.21905,NO
APYX,Medical Devices,Healthcare,0,-1.76,0,3.5,196.61,196.61,NMS,1.18,40879800,110.64,#N/A,1.78,#N/A,#N/A,#N/A,1.57526,NO
AQN,Utilities - Renewable,Utilities,31.84,14.56,5.02,6,17.76,22.78,NYQ,5.095,3907813888,33.59,#N/A,0.6,#N/A,#N/A,#N/A,5.91755,NO
ARAY,Medical Devices,Healthcare,0,15.46,0,6.13,230.46,230.46,NMS,1.855,186008272,56.18,#N/A,2.06,#N/A,#N/A,#N/A,2.1261,NO
ARC,Specialty Business Services,Industrials,19.03,11.42,5.85,4.35,27.01,32.86,NYQ,3.425,148173712,83.75,#N/A,0.39,#N/A,#N/A,#N/A,2.91435,YES
ARCB,Trucking,Industrials,19.41,10.93,0.46,123.75,21.44,21.9,NMS,101.9,2409486592,44.01,#N/A,0.45,#N/A,#N/A,#N/A,119.0843,NO
ARCC,Asset Management,Financial Services,7.6,9.79,8.87,22.12,1.82,10.69,NMS,21.725,13695158272,10.47,#N/A,1.18,#N/A,#N/A,#N/A,20.6881,YES
ARCO,Restaurants,Consumer Cyclical,11.44,11.16,2.57,13.17,42.15,44.72,NYQ,9.265,1951792896,37.39,#N/A,1.19,#N/A,#N/A,#N/A,10.3385,NO
ARE,REIT - Office,Real Estate,145.8,33.57,4.27,131.45,9.97,14.24,NYQ,119.53,20903657472,25.36,XLRE,0.52,S&P 500,#N/A,#N/A,120.2021,NO
ARI,REIT - Mortgage,Real Estate,173.7,9.14,11.24,9.13,5.12,16.36,NYQ,8.685,1201543808,26.71,#N/A,0.64,#N/A,#N/A,#N/A,10.4317,NO
ARLP,Thermal Coal,Energy,6.21,6.91,11.16,27,7.6,18.76,NMS,25.092,3213331456,22.49,#N/A,0.73,#N/A,#N/A,#N/A,22.6337,YES
ARM,Semiconductors,Technology,372.15,73.71,0,138.19,-9.43,-9.43,NMS,152.58,1.59904E+11,52.21,#N/A,-0.14,#N/A,#N/A,Nasdaq 100,126.9856,YES
ARMP,Biotechnology,Healthcare,0,-1.5,0,7,196.71,196.71,ASE,2.3592,85363168,68.75,#N/A,2.86,#N/A,#N/A,#N/A,2.9564,NO
AROC,Oil & Gas Equipment & Services,Energy,22.98,14.61,3.19,24.38,19.25,22.44,NYQ,20.445,3594496512,36.81,#N/A,0.45,#N/A,#N/A,#N/A,19.2663,YES
AROW,Banks - Regional,Financial Services,14.88,11.25,3.83,31,10.24,14.07,NMS,28.12,470523552,29.22,#N/A,0.48,#N/A,#N/A,#N/A,26.1315,YES
ARQ,Pollution & Treatment Controls,Industrials,0,41.93,0,10,70.36,70.36,NGM,5.87,242130064,61.51,#N/A,0.96,#N/A,#N/A,#N/A,5.6158,YES
ARR,REIT - Mortgage,Real Estate,0,4.94,14.15,20.5,2.37,16.52,NYQ,20.025,976043456,18.63,#N/A,1,#N/A,#N/A,#N/A,19.58155,YES
ARW,Electronics & Computer Distribution,Technology,12.61,9.16,0,131.67,-1.79,-1.79,NYQ,134.065,7097964544,38.78,#N/A,-0.04,#N/A,#N/A,#N/A,124.6569,YES
ARWR,Biotechnology,Healthcare,0,-4.84,0,47.29,131.02,131.02,NMS,20.47,2544728064,66.18,#N/A,1.82,#N/A,#N/A,#N/A,26.335625,NO
ASB,Banks - Regional,Financial Services,18.82,9.92,3.85,24.11,9.47,13.32,NYQ,22.025,3323594240,28.45,#N/A,0.34,#N/A,#N/A,#N/A,21.2541,YES
ASGN,Information Technology Services,Technology,22.63,16.34,0,96.5,3.54,3.54,NYQ,93.2,4177600000,41.99,#N/A,0.08,#N/A,#N/A,#N/A,95.0154,NO
ASH,Specialty Chemicals,Basic Materials,25.38,16.5,1.85,102.33,17.89,19.74,NYQ,86.8,4238609152,25.55,#N/A,0.7,#N/A,#N/A,#N/A,91.78235,NO
ASMB,Biotechnology,Healthcare,0,-2.39,0,35.5,114.24,114.24,NMS,16.57,105145928,220,#N/A,0.52,#N/A,#N/A,#N/A,13.95775,YES
