Ticker,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25
ABG,2.92,24.28,-6.28,17.85,9.46,9.05,-10.45,-16.89,-11.27,-11.86,5.56,10.83,-2.59,-5.91,8.05,4.75,5.47,1.56,0.29,-3.04,4.05,21.6,21.33,9.24,-50.59,40.01,26.02,49.55,34.83,-12.79,14.8,-12.2,-7.25,5.71,-10.77,18.63,17.15,14.49,-4.3,-2.22,4.81,-5.22,3.63,15.14,22.98,27.12
ABM,1.61,-9.15,12.31,4.45,11.01,2.84,-13.83,5.74,7.13,15.67,5.03,3.35,6.93,3.31,-5.94,-9.39,-18.14,0.22,-1.44,11.19,11.06,10.85,-13.38,4.61,-9.57,4.09,-3.29,5.82,39.93,-9.57,-5.33,-5.27,15.78,-7.11,-0.74,5.39,-9.23,8.69,-15,3.69,7.13,20.05,20.83,20.13,13.85,5.75
ABR,3.9,0.43,-3.02,0.45,3.1,-3.15,-5.92,12.42,-5.31,6.2,3.2,0.54,12.33,-0.48,-1.68,5.37,2.08,18.25,10.07,-12.28,28.8,-6.55,8.17,9.46,-65.85,88.57,24.13,23.63,12.13,12.08,3.98,-1.13,-6.88,-23.15,-12.28,14.7,-12.89,28.98,2.43,0,-12.71,-3.17,-2.06,7.55,6.16,13.04
ABT,0.47,6.21,1.69,8.25,2.91,5.94,-18.05,11.66,-6.86,-6.02,7.58,-9.17,15.62,9.46,9.77,6.95,4.99,1.79,20.28,-1.4,10.52,5.2,-0.51,3.81,-9.15,15.87,19.03,0.61,9.45,-3.26,1.9,19.14,-15.9,-8.2,-10.94,13.47,-7.77,7.66,-11.16,13.65,3.26,-4.69,0.26,3.4,1.32,6.6
ABUS,169.64,-39.23,61.87,-28.33,15.25,-32.07,-48.65,-26.93,-7.19,-15.74,-1.15,-28.78,32.65,10.77,72.22,-18.55,-0.99,46,29.45,-59.47,-6.53,-41.9,-26.68,82.3,-63.67,80.2,71.98,13.42,-6.2,-9.01,41.58,-9.32,-23.39,-9.06,-29.52,21.99,30.04,-24.09,-11.74,23.15,3.2,34.35,25.42,36.67,49.17,37.33
ACAD,-2.64,-7.15,9.61,28.23,2.65,28.51,-21.04,7.8,-21.57,16.09,-2,-9.34,19.21,-18.88,35.07,-20.07,-25.37,-32.04,35.95,-22.11,66.05,-0.45,34.64,18.87,-1.24,14.72,-14.9,29.6,-51.74,-5.47,-31.9,40.52,3.77,-41.82,16.11,-2.69,18.22,27.26,-12.99,50.24,-40.95,-32.15,-64.28,-75.97,3.1,111.58
ACCO,-8.33,4.06,7.64,30.58,-7.77,-6.5,-9.01,0.85,25.95,15.03,-6.68,35.37,0.77,-11.41,2.15,2.52,2.87,10.36,-18.41,-40,26.25,-8.06,25.41,-5.17,-46.05,40.59,-18.31,45.69,-0.12,2.25,-0.46,-3.84,-3.15,-18.38,-24.96,14.08,-4.83,-2.07,10.17,5.92,-7.73,-9.79,0.29,2.12,1.71,6.03
ACGL,-3.6,-0.17,-4.74,8,4.23,8.7,9.72,-5.06,1.94,1.27,10.08,8.87,9.83,-1.56,5.58,-7.85,-5.71,-7.26,12.66,-10.37,20.96,14.73,13.21,2.17,-33.64,0.67,2.09,23.32,6.38,1.49,-1.95,16.42,8.93,-6.05,0.11,37.86,8.11,10.28,6.49,-6.82,24.46,34.79,24.08,19.21,14.14,13.5
ACHC,-4.67,0.84,6.59,26.21,16.97,9.4,-15.4,-5.75,-11.77,0.53,-10.56,-33.2,31.72,13.26,-3.28,-31.68,20.07,4.42,-13.96,-26.96,14,19.24,-11.07,6.89,-44.76,36.89,17.36,70.49,13.69,9.82,1.64,-4.83,7.96,3.2,15.6,5.3,-12.23,10.23,-11.72,10.6,1.88,-15.19,-4.84,-4.65,10.83,12.05
ACHV,41.01,-68.28,-28.42,-14.23,-6.11,8.37,-4.29,-45.74,-43.51,46.31,-49.3,-1.4,-11.58,-18.62,-48.69,-33.83,-5.46,-70.24,-16.67,-61.59,166.94,-40.25,-11.92,-68.83,-38.31,21.44,5.42,-3.23,42.96,-22.45,-5.35,-8.47,-2.7,-35.54,-32.38,-25.76,177.55,-23.68,-17.15,-4.19,10.32,-9.44,22.67,34.71,43.05,40.51
ACIW,-8.94,-5.68,0.81,7.52,7.39,13.43,-14.04,1.33,-2.85,-6.16,-0.67,-6.35,17.85,4.58,1.83,-0.48,4.63,4.01,14.07,-1.67,18.79,4.47,-8.78,20.94,-36.25,11.76,-3.19,47.07,-0.99,-2.39,-17.26,12.92,-9.25,-17.78,-19.27,10.05,17.3,-14.12,-2.63,35.64,8.53,70.87,64,52.27,29.21,14.1
ACLS,-11.89,-6.98,-0.5,28.64,-7.03,24.37,-9.8,-3,8.11,-3.93,23.42,9.56,29.21,11.44,30.55,4.94,-14.29,-19.51,-0.76,-9.41,13.03,-25.2,13.55,40.99,-24.01,52.1,-21.01,32.36,41.11,-1.63,16.35,58.54,1.3,-27.39,10.43,31.04,67.91,37.58,-11.06,-20.46,-14.01,-22.44,-25.8,-14.52,11.94,31.6
ACM,9.31,0.09,4.81,-10.01,1.48,7.33,-16.84,9.16,2.53,3.18,-6.42,22.3,-2.12,-9.16,13.86,0.92,-4.09,-7.3,-1.12,-18.86,11.96,27.57,-0.77,14.83,-30.79,25.9,11.34,18.98,28.79,-1.23,-0.27,22.49,-0.7,-15.09,4.83,24.22,-0.72,0.44,-1.95,11.31,6.11,4.07,4.93,8.41,6.4,9.49
ACN,7.59,-2.28,-0.48,6.5,4.29,6.68,-1.84,13.74,-6.49,18.66,-3.34,3.85,2.57,1.61,5.05,13.19,8.78,-3.27,8.56,-2.69,-1.91,10.34,11.29,1.51,-10.23,11.65,19,3.82,0.73,12.46,19.28,6.19,-11.58,-5.56,-3.35,4.32,-11.76,15.2,5.83,2.89,12.5,-7.72,-6.37,4.71,10.06,18.39
ACNB,3.82,2.88,-1.22,14.14,-7.69,3.65,0.43,1.91,5.07,12.2,5.85,17.57,-7.68,5.72,-9.18,6.68,-1.02,16.41,9.25,5.51,-5.73,6.95,-13.32,10.26,-20.68,-12.73,-20.55,20.19,17.2,-4.74,0.32,11.71,11.73,-15.05,1.18,32.52,-18.24,1.9,-4.7,41.6,-16,9.35,13.7,15.07,15.69,15.34
ACNT,-9.72,16.26,4.55,3.69,-17.37,-8.56,-33.11,-22.96,15.12,-3.28,24.15,15.14,11.87,-7.67,10.52,7.2,8.96,36.64,14.54,-27.4,-8.38,2.76,2.11,-19.06,-32.38,-14.32,-26.2,41.3,13.33,13.01,10.01,49.5,-2.31,-12.4,-0.36,-38.12,5.54,-0.66,-2.42,7.78,6.59,7.37,15.62,14.92,13.18,12.82
ACR,-6.07,1.08,-13.5,3.49,-9.92,-14.76,-27.84,14.23,-11.83,14.31,-0.39,-34.97,17.29,4.09,6,-13.08,1.49,7.05,7.86,-8.74,6.09,6.4,0.53,3.87,-76.63,-3.99,-21.13,90.91,21.89,10.08,0.68,-22.88,7.54,-38.93,-0.49,1.35,17.68,-9.05,-6.11,15.9,46.15,44.34,29.11,5.81,-12.94,-22.07
ACTG,5.09,16.16,-12.79,9.43,-36.84,-18.04,3.53,-52.75,-11.66,16.09,48.18,-0.31,-11.54,-28.7,10.98,-10.99,-13.58,18.57,-22.89,-6.88,9.4,-9.2,-9.46,-0.75,-16.54,84.23,-15.16,13.54,68.78,1.65,0.44,-24.45,-12.09,11.75,-19.84,4.21,-8.31,7.77,-12.26,7.4,35.97,20.43,25.05,27.38,28.32,27.54
ACU,10.19,2.02,-0.66,20.13,-8.6,-0.93,-4.78,0.96,-6.09,12,14.32,22.23,9.54,2.11,-19.58,1.74,-10.94,-0.43,2.55,-33.04,12.28,41.13,-11.32,18.81,-14.8,13.37,0.21,30.84,30.9,12.98,-26.53,2.93,0.15,-6.16,-27.31,-4.87,5.02,8.43,19.85,43.39,9.64,40.62,29.04,-8.44,-39.98,-55.16
ADBE,20.87,-5.96,11.4,2.48,7.36,-0.01,0.39,16.08,-6.5,14.53,4.93,-3.71,20.36,19.53,8.07,15.77,16.86,19.79,4.85,-4.79,5.23,2.61,5.02,8.79,11.5,12.02,33.59,-7.63,-7.59,14.44,32.13,-7.51,-26.67,-4.95,-14.34,-7.23,0.73,26.84,29.07,8.75,-6.78,1.92,-2.23,-0.12,-4.51,8.01
ADC,4.79,-0.59,-9.43,13.55,6.05,-11.53,2.33,13.87,13.18,25.4,2.49,-6.86,4.15,-4.36,7,4.81,-6.61,9.85,0.66,11.3,17.29,-7.63,14.21,-4.07,-11.79,6.16,-3.15,4.62,1.1,4.72,-6.04,7.75,-7.01,8.69,-6.31,4.96,-3.27,-4.69,-15.52,13.96,-9.26,-5.28,6.99,9.93,17.75,20.58
ADEA,19.89,-6.56,20.38,34.54,12.64,-5.71,-14.67,-7.41,3.3,-1.16,25.46,14.98,-23.19,-12.22,-15.1,-3.56,-13.32,-23.88,-7.76,23.84,27.24,-12.01,0.44,-10.54,-24.81,6.11,-22.15,81.9,4.16,2.16,-15.29,0.37,-8.41,-16.69,-2.01,-32.96,-6.54,24.27,-3,16.01,-11.86,1.59,-6.55,-12.63,-9.48,-4.79
ADI,6.51,-2.72,-0.78,5.01,21.43,-7.81,3.07,-10.41,4.57,13.33,-0.47,21.09,-0.95,3.99,15.11,-2.3,1.3,6.97,-9.71,15.32,16.32,-3.65,-2.94,0.35,-5.57,10.82,3.2,24.3,3.96,9.31,3.63,-8.57,-2.68,11.39,-15.75,17.91,5.3,10.31,-19.08,19.64,3.92,4.81,-0.17,3.16,7.51,14.42
ADM,-0.02,1.66,15.85,1.76,-8.85,1.73,-14.04,-11.51,-1.01,18.12,-1.68,8.25,0.85,-10.12,2.73,-5.72,8.21,5.67,9.69,-18.5,5.27,-5.4,0.66,12.86,-24.1,13.42,16.52,8.43,13.07,6.32,-0.97,12.63,33.54,-14.03,3.67,15.41,-14.21,-5.15,-0.19,-4.24,-13.03,-20.00,-11.35,0.68,7.48,13.28
ADP,-4.38,2.61,4.79,0.35,2.72,-6.32,0.09,5.5,5.89,2.41,-3.99,16.53,-0.38,0.07,6.7,7.2,-3.17,18.21,12.32,-12.97,21.83,3.5,-2.36,5.63,-19.84,8.93,-6.31,26.32,6.96,5.39,0.65,23.34,-7.72,-7.69,7.69,5.6,-6.79,-1.28,9.46,-3.16,7.2,8.60,8.27,11.63,9.58,9.86
ADSK,-6.3,11.1,7.85,-6.14,5.23,-11,9.11,-15.17,27.77,-0.62,21.58,12.53,10.73,23,12.79,-7.47,8.89,2.02,0.63,13.89,21.07,-12.37,-5.64,33.58,-4.94,26.35,-0.38,17.78,5.22,10.01,-1.1,-21.35,-24.22,14.29,-0.93,0.4,-9.47,8.83,-6.77,28.43,-16.14,16.76,26.23,26.01,29.52,31.03
ADTN,-9.63,-7.58,-9,6.19,-14.36,-12.96,-10.15,17.95,17.42,-7.76,2.63,16.77,-7.16,-0.48,16.22,-19.38,-19.64,-4.5,18.86,-39.15,27.56,11.31,-25.61,-12.83,-22.35,42.32,-6.18,44.03,12.93,23.8,-9.15,21.7,-19.19,-4.99,11.69,-4.03,-15.59,-33.61,-21.84,-10.81,-25.89,-50.05,-35.41,196.42,211.35,171.42
ADUS,2.67,-2.47,-12.81,23.83,-5.15,21.03,11.81,-25.26,-26.16,1.4,50.09,33.98,-8.7,16.25,-5.11,-1.42,39.8,17.68,22.53,-3.24,-6.32,17.86,5.78,22.63,-30.47,36.92,2.11,23.89,-10.68,-16.59,-8.59,17.25,-0.24,-10.73,14.36,4.46,7.31,-13.17,-8.1,8.99,11.3,25.25,27.24,34.11,38.99,35.23
AE,-15.45,34.89,-43.31,12.78,34.55,-33.64,-8.07,-6.34,4.11,-3.7,2.13,0.84,-5.8,9.99,1.02,4.82,0,-1.15,-1.26,-8.83,0.9,-12.24,-9.57,22.81,-38.27,13.91,-25.66,21.11,16.22,-1.14,9.68,-8.43,38.4,-16.37,-7.42,30.6,-1.28,-8.51,-4.15,-22.29,10.77,-20.34,-6.45,2.02,7.51,9.93
AEE,13.94,-0.78,-6.24,20.35,-8.52,-10.71,12.18,2.27,15.89,6.95,-8.21,6.67,4.06,0.15,5.8,1.99,-4,7.45,3.89,3.18,12.75,2.12,6.58,-4.06,-5.17,-3.39,12.39,-1.29,4.23,-1.62,1.2,9.89,5.34,-3.63,-10.86,10.39,-2.85,-5.46,-8.38,-3.33,2.24,-12.93,-9.22,-3.64,-0.57,2.04
AEHR,-16.96,-3.83,12.39,5.12,-1.12,-9.09,-3.75,-14.29,-39.9,-15.13,139.6,23.55,75.25,-12.6,-26.64,-24.11,-10.2,13.54,-2.69,-25.69,-22.61,20.27,-23.43,41.04,11.11,-21.43,7.88,-7.3,69.7,-19.64,231.56,133.51,-21.93,-38.38,73.51,79.3,27.92,-0.99,54.48,-54.99,-29.14,-65.14,-26.1,13.07,20.43,20.24
AEIS,7.17,-21.43,-2.39,26.13,8.27,7.13,-4.33,7.34,23.24,9.11,24.66,15.7,25.22,-5.64,24.84,-16.44,-5.31,-9.09,-11.09,-16.88,15.72,13.26,2.03,24.02,-31.9,39.8,-7.15,54.07,12.58,3.24,-22.15,3.77,-5.47,-15.22,6.07,10.81,14.25,13.72,-7.47,5.62,-6.37,-2.41,-0.74,5.68,13.4,18.63
AEM,14.67,26.61,-24.2,-14.26,12.25,1.54,-10.75,3.79,37.6,47.95,1.27,-22.48,1.05,6.31,0.2,2.15,-8.9,8.94,-25.38,18.13,7.67,17.79,4.63,14.92,-35.42,61,24.27,-11.43,-18.01,4.57,-14.23,2.49,15.24,-25.28,-7.71,23.11,-1.96,-1.94,-9.06,20.68,8.75,30.85,23.88,17.34,14.57,11.77
AEO,-15,-9.91,24.23,9.09,13.6,11.29,-13.92,-4.19,-2.25,25.23,-5.75,-13.14,-3.95,-15.9,16.12,27.62,14.52,27.05,-12.92,-5.93,15.24,-32.17,-4.03,-8.28,-46.18,29.03,37.1,65.5,52.36,-0.29,-31.13,-5.64,-32.54,-20.32,-6.56,39.2,-14.5,4.33,24.48,19.44,17,43.74,7.37,1.08,-3.75,-0.65
AEP,8.39,10.09,-6.38,16.3,-7.36,-5.83,7.34,2.48,13.95,5.56,-8.39,-1.95,6.62,3.49,1.11,4.74,-6.77,0.96,2.35,5.45,12.06,5.09,6.45,0.88,-15.37,-0.43,2.62,1.88,1.72,-0.13,-4.03,9.6,12.14,-3.84,-9.89,9.83,-4.17,-7.46,-10.67,7.98,6.01,4.20,9.69,13.5,13.46,10.48
AER,10.01,8.56,-10.7,-5.09,12.44,4.9,-16.49,12.87,-10.19,-13.34,14.59,8.11,10.48,1,10.08,2.93,-3.59,6.76,6.22,-31.15,17.53,11.75,5.27,12.27,-62.93,35.15,-18.21,80.94,28.87,-12.82,12.89,13.16,-23.14,-18.58,3.4,37.77,-3.58,12.96,-1.34,18.59,16.94,46.73,31.43,29.37,21.59,18.44
AES,-1.59,8.89,-8.81,-2.89,-6.68,3.19,-26.17,-2.25,23.3,5.76,2.96,-9.57,-3.79,-0.63,-0.81,-1.72,4.99,17.94,4.4,3.29,25.03,-7.3,-2.51,21.79,-31.66,6.54,24.98,29.76,14.09,-2.76,-12.43,6.44,5.88,-18.34,7.57,27.26,-16.27,-13.91,-26.68,26.64,-6.86,-15.24,-6.32,0.64,7.33,11.8
AFG,-0.02,3.21,-2.8,4.89,5.65,1.39,5.95,4.6,-2.37,5.06,1.45,17.49,8.28,4.14,4.11,4.92,3.39,-4.36,3.39,-18.42,6.27,6.51,5.25,1.67,-36.09,-9.45,5.55,30.82,30.22,9.31,0.89,9.13,6.04,-4.68,-11.44,11.67,-11.49,-2.26,-5.96,6.47,14.8,3.60,10.67,16.62,12.73,15.26
AFL,-5.63,-1.25,-6.43,4.88,4.78,-2.83,-6.54,3.04,5.41,14.29,-0.4,-3.16,4.05,7.26,4.78,7.85,-0.3,-1.69,9.41,-3.21,9.75,9.62,-4.54,1.11,-35.27,5.23,0.89,22.34,15.09,4.85,-2.85,12.01,10.28,-14.07,1.57,28.01,-10.31,8.18,9.96,7.49,4.07,27.95,3.44,6.28,2.42,2.06
AG,-1.63,12.14,-27.84,-35.64,7.77,-10.72,-33.75,2.19,98.17,109.57,-24.15,-25.92,6.42,2.34,-17.69,-1.46,-9.35,24.88,-25.56,3.7,11.71,20.21,14.92,34.87,-49.51,60.74,-4.32,41.18,15.92,1.48,-28.53,-1.68,18.45,-45.44,6.13,9.45,-13.55,-21.64,-9.2,19.88,-4.39,4.78,13.43,13.45,10.17,7.23
AGCO,-6.81,1.92,-19.14,-0.57,5.4,19.19,-17.88,-2.66,9.5,-5.17,4.65,17.32,4.01,11.98,9.47,-3.17,-9.21,-6.37,0.12,-8.42,24.93,11.53,-2.41,2.05,-38.83,17.38,33.92,38.8,39.34,-9.24,-6.02,-5.31,25.87,-32.41,-2.56,44.21,-2.52,-2.8,-10,2.65,1.33,-25.52,-7.7,13.87,26.69,36.99
AGEN,20.08,1.58,-3.42,27.65,29.22,68.23,-46.7,-1.3,-8.37,-2.64,77.28,-42.62,-8.5,3.71,12.79,-26.08,44.48,-51.8,-5.73,11.21,24.79,1.01,-14,57.75,-41.03,63.75,1.78,-20.5,-14.47,101.84,-4.37,-38.67,-23.6,-21.14,5.67,17.07,-36.67,5.26,-29.38,-26.73,-29.94,-47.66,-15.68,4.65,12.19,12.38
AGI,-25.64,12.42,-21.5,-10.43,-17.81,-3.41,-34.81,-10.84,60.79,62.57,-4.65,-16.59,17.4,-10.59,-5.85,-3.7,-19.97,9.21,-18.98,-21.91,41.11,19.09,-4.13,3.79,-16.94,87.6,-6.08,-0.68,-10.74,-2.05,-5.88,6.81,9.49,-16.63,5.56,36.44,20.97,-2.53,-5.29,19.31,9.5,31.54,19.18,10.72,4.27,-0.45
AGM,-2.92,-6.53,3.41,-5.6,-7.09,3.09,-10.77,21.75,19.51,-7.71,13.44,44.99,0.52,12.38,12.43,7.56,11.22,2.83,-19.33,-16.26,19.84,0.32,12.39,2.25,-33.38,15.06,-0.55,16.64,35.65,-1.81,9.73,14.2,-12.47,-9.98,1.53,13.69,18.17,7.92,7.35,23.93,2.96,25.80,22.04,9.68,6.89,11.42
AGNC,11.4,8.93,-9.23,2.73,-2.29,-13.88,1.8,-7.27,7.44,6.39,-1.41,-7.22,9.71,7.04,1.83,-6.87,-6.29,-1.74,0.22,-5.85,2.62,-6.56,-4.34,9.88,-40.16,21.93,7.83,12.15,7.44,0.78,-6.63,-4.63,-12.9,-15.5,-23.94,22.92,-2.61,0.5,-6.81,3.92,0.92,-5.82,-12.17,-10.24,-12.18,-10.59
AGO,7.33,-3.24,-9.55,17.28,1.54,-9.09,4.21,5.72,-4.28,0.28,9.38,36.11,-1.75,12.48,-9.56,-10.28,6.88,-1.3,18.19,-9.35,16.07,-5.29,5.66,10.26,-47.39,-5.35,-12,46.6,34.26,12.3,-1.41,7.24,26.81,-12.36,-13.16,28.5,-19.26,11,8.46,23.65,16.6,38.26,34.48,17.44,-5.71,-2.12
AGRO,0.87,15.69,-6.78,-8.98,27.59,-9.78,-13.67,54.4,-6.02,-5.02,4.01,-9.03,10.4,-12.83,8.11,-4.26,-27.27,5.72,-7.55,-5.31,-1.01,3.63,-18.35,43.57,-53.52,11.57,7.6,45.61,15.59,27.74,-10.06,-14.95,57.29,-29.97,-2.01,0,-2.41,15.7,24.89,-5.05,-0.72,3.95,-24.75,-23,-22.47,-12.78
AGX,-5.77,26.63,2.68,-12.64,6.25,20.33,-4.96,-18.48,13.48,34.96,23.24,29.73,-9.36,-3.59,6.67,-36.58,-8.26,-4,14.64,-4.09,13.26,-13.95,-8.02,11.25,-10.85,14.28,-3.99,4.95,16.01,-10.37,-8.21,-9.96,-1,1.03,-6.7,12.46,3.18,-5.44,20.24,-3.08,35.94,107.49,98.23,77.5,59.47,35.86
AGYS,-3.75,5.07,-16.69,7.33,-21.84,-6.71,21.13,-10.16,2.2,2.55,6.21,-6.83,-8.78,7.09,18.08,2.76,-2.93,30.03,5.16,-12.02,47.63,1.42,19.28,-0.78,-34.28,7.43,34.67,58.86,24.96,18.58,-7.93,-15.09,-10.3,18.53,17.09,42.98,4.26,-16.81,-3.61,28.2,-0.66,51.72,49.75,30.58,15.64,5.8
AHT,36.11,2.4,-11.44,2.54,-8.21,-12.06,-27.9,3.44,1.11,-15.83,9.68,31.75,-17.91,-4.55,9.7,0.9,-4.01,25.39,-21.11,-37.4,18.75,-37.47,11.45,-15.71,-73.51,-2.25,-77.17,56.97,13.9,54.58,-67.72,-34.78,6.25,-41.37,13.88,-34.36,-28.19,16.2,-35.92,-18.83,-29.38,-73.94,-61.86,-38.64,-22.03,-14.51
AIG,-2.04,9.14,-1.03,3.68,-2.18,12.83,-8.09,9.06,-12.78,-2.15,12.2,10.06,-4.41,0.14,-1.81,-2.95,-8.66,-2.57,0.41,-25.98,9.26,23.73,4.54,-7.85,-52.76,28.58,-11.71,37.52,22.05,3.01,15.32,3.59,10.39,-18.54,-7.14,33.19,-20.37,14.26,5.32,11.8,15.38,29.02,22.85,17.4,-3.52,-6.92
AIM,50.94,-22.5,3.52,-22.09,-8.8,-10.31,-16.63,-52.79,65.34,-13.45,-8.85,-45.25,-20.98,-8.27,-35.5,7.29,14.16,-18.99,-28.13,-21.3,-11.6,-37.64,-82.64,-28.61,370.59,-3.12,-13.31,-16.74,26.82,-5.29,-6.05,-54.46,15.22,-26.42,-25.38,-46.39,37.82,55.81,-32.09,-3.3,7.05,-44.33,-26.87,-30.92,-30.34,-20.62
AIN,-1.09,6.81,-10.33,11.6,4.63,0.13,-28.12,27.75,2.85,6.23,6.14,9.25,-0.54,15.96,7.49,7.06,2.03,-4.07,32.17,-21.47,14.67,15.81,8.74,-15.79,-37.66,24.04,-15.67,48.29,13.69,6.94,-13.88,15.06,-4.67,-6.56,0.05,25.07,-9.36,4.39,-7.5,13.84,-4.8,-9.47,8.45,14.86,19.25,20.84
AIR,-7.43,-15.92,13.99,-7.47,14.71,0.48,-17.64,0.95,-13.31,14.65,0.82,49.9,-6.7,1.51,3.21,15.31,2.41,4.96,4.43,-6.39,-16.39,-17.63,42.77,4.03,-22.69,-41.62,0.05,40.58,40.22,4.95,-18.92,-3.52,37.6,7.3,-11.07,8.58,16.82,-7.87,22.93,12.5,-3.64,41.67,26.73,15.9,12.46,10.28
