Ticker,Name,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MAV,Price Above 200 MAV
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,Basic Materials,0.00,7.57,0.00,4.5,158.62,158.62,NCM,1.74,"133,087,560",66.1,,2.40,,,,1.87545,NO
ALV,"Autoliv, Inc.",Auto Parts,Consumer Cyclical,12.89,8.98,2.84,122.09,26.65,29.49,NYQ,96.4,"7,719,692,800",33.19,,0.89,,,,110.2604,NO
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,22.12,20.19,0.86,236.83,20.30,21.16,NMS,196.86,"162,292,170,752",41.85,XLK,0.51,S&P 500,,Nasdaq 100,196.9277,NO
AMBA,"Ambarella, Inc.",Semiconductor Equipment & Materials,Technology,0.00,-307.06,0.00,74,33.89,33.89,NMS,55.27,"2,281,241,600",44.75,,0.76,,,,53.19975,YES
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,21.77,14.06,4.54,10.32,-7.03,-2.49,NYQ,11.1,"16,043,275,264",21.25,XLB,-0.12,S&P 500,,,9.82385,YES
AMCX,AMC Networks Inc.,Entertainment,Communication Services,6.98,1.94,0.00,9.5,4.63,4.63,NMS,9.08,"400,410,752",79.9,,0.06,,,,13.3707,NO
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,185.47,29.04,0.00,185.99,17.96,17.96,NMS,157.675,"255,153,356,800",47.72,XLK,0.38,S&P 500,,Nasdaq 100,159.68225,NO
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,29.91,23.55,0.66,185.91,8.29,8.95,NYQ,171.67,"39,747,784,704",22.22,XLI,0.40,S&P 500,,,169.61604,YES
AMED,"Amedisys, Inc.",Medical Care Facilities,Healthcare,34.62,19.08,0.00,97.78,0.50,0.50,NMS,97.29,"3,185,332,992",15.45,,0.03,,,,94.6122,YES
AMG,"Affiliated Managers Group, Inc.",Asset Management,Financial Services,10.45,7.13,0.02,206.33,15.04,15.06,NYQ,179.36,"5,347,439,104",24.25,,0.62,,,,159.3937,YES
AMGN,Amgen Inc.,Drug Manufacturers—General,Healthcare,58.19,16.41,2.70,328.27,-2.57,0.13,NMS,336.915,"181,034,205,184",23.29,XLV,0.01,S&P 500,DJIA,Nasdaq 100,301.10046,YES
AMKR,"Amkor Technology, Inc.",Semiconductor Equipment & Materials,Technology,20.94,13.37,1.04,40.5,27.24,28.28,NMS,31.83,"7,842,561,536",45.66,,0.62,,,,32.9195,NO
AMN,"AMN Healthcare Services, Inc.",Medical Care Facilities,Healthcare,17.34,14.11,0.00,65.86,42.79,42.79,NYQ,46.125,"1,752,837,632",53.95,,0.79,,,,60.7897,NO
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,15.79,12.12,1.31,472.33,2.26,3.57,NYQ,461.8916,"45,352,538,112",28.24,XLF,0.13,S&P 500,,,413.87506,YES
AMRC,"Ameresco, Inc.",Engineering & Construction,Industrials,33.63,19.88,0.00,36.27,0.81,0.81,NYQ,35.98,"1,885,441,920",75.89,,0.01,,,,27.1196,YES
AMRN,Amarin Corporation plc,Drug Manufacturers—General,Healthcare,0.00,-3.17,0.00,1,66.00,66.00,NGM,0.6024,"247,689,424",220,,0.30,,,,0.86855,NO
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,Industrials,0.00,43.92,0.00,30.33,40.94,40.94,NMS,21.52,"824,125,632",63.42,,0.65,,,,16.50145,YES
AMSF,"AMERISAFE, Inc.",Insurance—Specialty,Financial Services,16.55,21.37,3.00,53.67,9.19,12.19,NMS,49.1539,"937,281,344",26.71,,0.46,,,,47.61295,YES
AMSWA,"American Software, Inc.",Software—Application,Technology,40.15,26.44,4.10,16,47.60,51.70,NMS,10.84,"384,609,696",38.61,,1.34,,,,10.59115,YES
AMT,American Tower Corporation,REIT—Specialty,Real Estate,43.45,34.36,2.75,237,2.34,5.09,NYQ,231.57,"108,162,179,072",21.7,XLRE,0.23,S&P 500,,,202.38815,YES
AMWD,American Woodmark Corporation,"Furnishings, Fixtures & Appliances",Consumer Cyclical,14.05,9.62,0.00,102.4,7.78,7.78,NMS,95.01,"1,472,398,464",41.74,,0.19,,,,91.21605,YES
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,45.28,32.60,0.00,218.35,15.08,15.08,NMS,189.74,"1,991,435,091,968",29.71,XLY,0.51,S&P 500,DJIA,Nasdaq 100,174.51096,YES
AN,"AutoNation, Inc.",Auto & Truck Dealerships,Consumer Cyclical,9.67,9.09,0.00,195.67,10.26,10.26,NYQ,177.465,"7,041,669,120",37.79,,0.27,,,,158.5304,YES
ANDE,"The Andersons, Inc.",Food Distribution,Consumer Defensive,16.90,13.98,1.55,70,39.45,41.00,NMS,50.1975,"1,710,153,472",38.52,,1.06,,,,52.571,NO
ANET,"Arista Networks, Inc.",Computer Hardware,Technology,48.94,40.04,0.00,358.72,-4.80,-4.80,NYQ,376.81,"118,375,989,248",41.25,XLK,-0.12,S&P 500,,,295.02124,YES
ANF,Abercrombie & Fitch Co.,Apparel Retail,Consumer Cyclical,14.84,13.12,0.00,182.4,30.37,30.37,NYQ,139.91,"7,146,421,248",49.71,,0.61,,,,132.0045,YES
ANGI,Angi Inc.,Internet Content & Information,Communication Services,0.00,46.83,0.00,3.93,39.86,39.86,NMS,2.81,"1,401,259,776",74.38,,0.54,,,,2.3672,YES
ANGO,"AngioDynamics, Inc.",Medical Instruments & Supplies,Healthcare,0.00,-70.36,0.00,13.33,72.22,72.22,NMS,7.74,"311,740,864",60.42,,1.20,,,,6.5007,YES
ANIK,"Anika Therapeutics, Inc.",Drug Manufacturers—Specialty & Generic,Healthcare,0.00,195.92,0.00,34.5,35.46,35.46,NMS,25.4693,"376,861,568",44.37,,0.80,,,,25.0934,YES
ANIP,"ANI Pharmaceuticals, Inc.",Drug Manufacturers—Specialty & Generic,Healthcare,51.02,11.77,0.00,81,33.42,33.42,NGM,60.71,"1,276,737,408",38.78,,0.86,,,,61.2302,NO
ANIX,"Anixa Biosciences, Inc.",Biotechnology,Healthcare,0.00,-9.50,0.00,8.5,148.54,148.54,NCM,3.42,"110,053,896",117.92,,1.26,,,,3.34645,YES
ANSS,"ANSYS, Inc.",Software—Application,Technology,56.56,29.94,0.00,341.94,6.63,6.63,NMS,320.69,"28,024,008,704",27.17,XLK,0.24,S&P 500,,Nasdaq 100,326.26004,NO
AON,Aon plc,Insurance Brokers,Financial Services,27.83,19.91,0.77,346.71,0.16,0.93,NYQ,346.15,"75,198,316,544",21.97,XLF,0.04,S&P 500,,,309.6329,YES
AORT,"Artivion, Inc.",Medical Devices,Healthcare,0.00,132.08,0.00,30.32,20.82,20.82,NYQ,25.095,"1,051,317,376",38.2,,0.55,,,,21.84735,YES
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,21.72,19.37,1.54,88.23,4.97,6.51,NYQ,84.05,"12,258,272,256",24.97,,0.26,S&P 500,,,82.7964,YES
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,Technology,0.00,28.30,0.00,42,15.94,15.94,NMS,36.225,"1,049,557,760",58.9,,0.27,,,,28.8366,YES
APA,APA Corporation,Oil & Gas E&P,Energy,2.75,6.49,3.98,37.12,45.80,49.78,NMS,25.46,"9,415,931,904",41.99,XLE,1.19,S&P 500,,,30.95775,NO
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,25.18,21.71,2.46,298.23,2.81,5.27,NYQ,290.09,"64,491,069,440",24.21,XLB,0.22,S&P 500,,,257.3046,YES
APEI,"American Public Education, Inc.",Education & Training Services,Consumer Defensive,80.79,11.20,0.00,18.33,19.41,19.41,NMS,15.35,"271,721,088",75.08,,0.26,,,,14.05705,YES
APH,Amphenol Corporation,Electronic Components,Technology,38.81,31.65,1.04,72.73,11.55,12.59,NYQ,65.2,"78,513,094,656",31.65,XLK,0.40,S&P 500,,,58.7987,YES
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,13.10,14.09,1.57,127.5,5.22,6.79,NYQ,121.17,"69,010,432,000",32.51,,0.21,,,,109.1277,YES
APOG,"Apogee Enterprises, Inc.",Building Products & Equipment,Industrials,14.21,14.21,1.48,67.5,-2.47,-0.99,NMS,69.21,"1,517,996,800",37.3,,-0.03,,,,59.3545,YES
APPS,"Digital Turbine, Inc.",Software—Application,Technology,0.00,5.65,0.00,3.67,22.54,22.54,NCM,2.995,"307,814,112",102.64,,0.22,,,,3.2988,NO
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,5.33,9.00,0.00,91.02,28.85,28.85,NYQ,70.64,"16,597,574,656",37.76,XLY,0.76,S&P 500,,,76.83465,NO
APYX,Apyx Medical Corporation,Medical Devices,Healthcare,0.00,-1.57,0.00,3.5,227.07,227.07,NMS,1.0701,"37,072,436",110.64,,2.05,,,,1.702945,NO
AQN,Algonquin Power & Utilities Corp.,Utilities—Renewable,Utilities,34.22,14.80,4.73,6.03,10.14,14.87,NYQ,5.475,"4,206,798,336",32.52,,0.46,,,,6.03185,NO
ARAY,Accuray Incorporated,Medical Devices,Healthcare,0.00,15.83,0.00,6.13,222.63,222.63,NMS,1.9,"188,563,984",65.05,,3.42,,,,2.2304,NO
ARC,"ARC Document Solutions, Inc.",Specialty Business Services,Industrials,18.75,11.25,5.92,4.35,28.89,34.81,NYQ,3.375,"145,967,744",83.75,,0.42,,,,2.87675,YES
ARCB,ArcBest Corporation,Trucking,Industrials,21.95,11.80,0.43,128.18,11.21,11.64,NMS,115.255,"2,725,273,600",43.47,,0.27,,,,120.1708,NO
ARCC,Ares Capital Corporation,Asset Management,Financial Services,7.28,9.33,9.44,22.12,6.30,15.74,NMS,20.81,"13,115,201,536",13.42,,1.17,,,,20.56405,YES
ARCO,Arcos Dorados Holdings Inc.,Restaurants,Consumer Cyclical,10.60,10.23,2.83,13,51.25,54.08,NYQ,8.595,"1,810,648,576",58.56,,0.92,,,,10.6804,NO
ARE,"Alexandria Real Estate Equities, Inc.",REIT—Office,Real Estate,151.44,34.46,4.20,137.58,12.15,16.35,NYQ,122.67,"21,458,171,904",22.15,XLRE,0.74,S&P 500,,,120.8884,YES
ARI,"Apollo Commercial Real Estate Finance, Inc.",REIT—Mortgage,Real Estate,196.70,9.37,10.32,9.58,-2.59,7.73,NYQ,9.835,"1,360,642,816",21.56,,0.36,,,,10.73015,NO
ARLP,"Alliance Resource Partners, L.P.",Thermal Coal,Energy,5.92,6.58,11.69,27,12.97,24.66,NMS,23.9,"3,060,681,728",23.17,,1.06,,,,22.09655,YES
ARM,Arm Holdings plc,Semiconductors,Technology,354.58,68.50,0.00,135.41,-4.50,-4.50,NMS,141.79,"148,637,843,456",66.44,,-0.07,,,Nasdaq 100,118.05105,YES
ARMP,"Armata Pharmaceuticals, Inc.",Biotechnology,Healthcare,0.00,-1.43,0.00,7,211.80,211.80,ASE,2.245,"81,231,056",68.75,,3.08,,,,2.9882,NO
AROC,"Archrock, Inc.",Oil & Gas Equipment & Services,Energy,23.56,15.53,3.24,23.5,12.06,15.30,NYQ,20.97,"3,686,798,336",38.23,,0.40,,,,18.6135,YES
